Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2015,02/08/2015,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Stretch,Racing,Thoroughbred,,Francis Freud,ROBERT N. FALCONE JR,JUNIOR R. ALVARADO,Francis Freud-Tr. Robert Falcone Jr.-eased in stretch-cooled out in test barn after race with no apparent signs of lameness or discomfort-back training,
2015,02/11/2015,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),5/8 Pole-Before Finish,Racing,Thoroughbred,,Untiltherewasyou,GARY C. CONTESSA,JOSE L. ORTIZ,Untiltherewasyou-Tr. Gary Contessa-horse stopped running and was eased before finish-no apparent injuries-treated for dehydration and fever-will resume training upon recovery,Steward's List
2015,02/14/2015,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Stretch,Racing,Thoroughbred,,Essence At Noon,JOSEPH W. MAZZA,ISRAEL O. RODRIGUEZ,Essence At Noon-Tr. Joseph Mazza-eased in stretch-cooled out in test barn after race with no apparent lameness or discomfort,Steward's List
2015,02/26/2015,RACING INJURY,Aqueduct Racetrack (NYRA),After Finish,Racing,Thoroughbred,,Blue Ballerina,DEBRA A. BREED,OSCAR D. GOMEZ,Blue Ballerina-Tr. Debra Breed-ambulanced off after finish-fx RF sesamoid-retired to broodmare,Injury
2015,02/26/2015,STEWARDS/VETS LIST,Yonkers Raceway,At 1/2,Racing,Harness,,Andrew Luck,RICHARD J. BANCA,GEORGE J. BRENNAN,Andrew Luck-Tr. Richard Banca-made break-fell got up-walked off track-sustained minor scrapes-otherwise sound-must requalify,Steward's List
2015,02/26/2015,STEWARDS/VETS LIST,Yonkers Raceway,paddock after race,Racing,Harness,,Clem,RICHARD J. BANCA,DANIEL DUBE,Clem-Tr. Richard Banca-exhibited wobbliness and muscle weakness (ataxia paresis) while being unharnessed-vet treated with IV fluids and meds-responded well-possible dehydration,Steward's List
2015,02/26/2015,STEWARDS/VETS LIST,Yonkers Raceway,paddock after race,Racing,Harness,,Rockstar Temper,RICHARD J. BANCA,GEORGE J. BRENNAN,Rockstar Temper-Tr. Richard Banca-exhibited wobbliness and muscle weakness (ataxia paresis) while being unharnessed-vet treated with IV fluids and meds-responded well-possible dehydration,Steward's List
2015,03/01/2015,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),1/4 Pole,Racing,Thoroughbred,,Cosmic Coincidence,JOSEPH W. MAZZA,CHARLES C. LOPEZ,Cosmic Coincidence-Tr. Joseph Mazza-eased up-DNF race-walked off track-investigation continues,
2015,03/01/2015,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Start/After Finish,Racing,Thoroughbred,,Oro Vero,YVON G. BELSOEUR,JUNIOR R. ALVARADO,Oro Vero-Tr. Yvon Belsoeur-stumbled badly at start-rider pulled up and horse ambulanced off after race-back training-must requalify,Steward's List
2015,03/02/2015,STEWARDS/VETS LIST,Yonkers Raceway,3/4 Pole,Racing,Harness,,Village Jessica,CARMEN E. AUCIELLO,MARK J. MACDONALD,Village Jessica-Tr. Carmen Auciello-DNF-Atrial Fibrillation-possible electrolyte disturbance-must requalify,Steward's List
2015,03/06/2015,EQUINE DEATH,Saratoga Gaming & Raceway,3/4 Pole,Racing,Harness,Clear,She's A Cowgirl,DAVID J. WISKOW,JAY L. RANDALL,She's A Cowgirl-Tr. David Wiskow-pulled up-DNF-ambulanced off-xrays revealed fx RR leg-surgery performed next day-euthanized due to complications,Equine Death
2015,03/08/2015,RACING INCIDENT,Yonkers Raceway,3/4 pole,Racing,Harness,,Uriel,RONALD J. BURKE *,GEORGE J. BRENNAN,Uriel-Tr. Ron Burke-DNF-equipment failure-flat tire on bike,
2015,03/12/2015,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/16 pole,Racing,Thoroughbred,,Risk the Moon,PATRICK J. KELLY,SAMUEL JIMENEZ,Risk the Moon-Tr. Patrick Kelly-fell unseating jockey Samuel Jimenez-stood up-fx RF leg-euthanized on track,Equine Death
2015,03/12/2015,RACING INCIDENT,Yonkers Raceway,3/4 pole,Racing,Harness,,Tidewater Tomahawk,RICHARD J. BANCA,GEORGE J. BRENNAN,Tidewater Tomahawk-Tr. Richard Banca-hobble broke-DNF,
2015,03/14/2015,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),After Finish,Racing,Thoroughbred,,Mineral Water,ROBERT A. BARBARA,JEREMY P. ROSE,Mineral Water-Tr. Robert Barbara-ambulanced off track-aggrevated previous R knee chip injury-to be re-evaluated for racing-must requalify,
2015,03/14/2015,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Before Finish,Racing,Thoroughbred,,Whiskey Cures Ugly,DAVID A. CANNIZZO,ISRAEL O. RODRIGUEZ,Whiskey Cures Ugly-Tr. David Cannizzo-eased in deep stretch-DNF-no injuries reported-did not handle track conditions well,Steward's List
